code,name,category_name,brand_name,model,serial_number,description,condition
AST00244,"Apple Cameras Ultra",Cameras,Apple,"Ultra 5656",SN00000244,"Professional grade - Unit 244",good
AST00245,"Razer Audio Lite",Audio,Razer,"Lite 3755",SN00000245,"Professional grade - Unit 245",good
AST00246,"Dell Computers Premium",Computers,Dell,"Premium 1969",SN00000246,"Reliable office equipment - Unit 246",good
AST00247,"Epson Audio Max",Audio,Epson,"Max 3388",SN00000247,"Enterprise solution - Unit 247",damage
AST00248,"Logitech Printers Max",Printers,Logitech,"Max 3276",SN00000248,"Compact model - Unit 248",good
AST00249,"Epson Projectors Max",Projectors,Epson,"Max 5702",SN00000249,"Reliable office equipment - Unit 249",damage
AST00250,"Microsoft Audio Advanced",Audio,Microsoft,"Advanced 9106",SN00000250,"Industrial equipment - Unit 250",damage
AST00251,"Epson Projectors Basic",Projectors,Epson,"Basic 7696",SN00000251,"Reliable office equipment - Unit 251",damage
AST00252,"Acer Monitors Pro",Monitors,Acer,"Pro 4144",SN00000252,"Budget friendly - Unit 252",good
AST00253,"Samsung Cameras Deluxe",Cameras,Samsung,"Deluxe 4258",SN00000253,"High-performance device - Unit 253",damage
AST00254,"Microsoft Storage Max",Storage,Microsoft,"Max 9325",SN00000254,"Industrial equipment - Unit 254",damage
AST00255,"Samsung Storage Plus",Storage,Samsung,"Plus 8766",SN00000255,"Portable device - Unit 255",damage
AST00256,"Epson Storage Premium",Storage,Epson,"Premium 4541",SN00000256,"Compact model - Unit 256",damage
AST00257,"HP Peripherals Lite",Peripherals,HP,"Lite 4060",SN00000257,"Professional grade - Unit 257",good
AST00258,"Apple Storage Pro",Storage,Apple,"Pro 9390",SN00000258,"Industrial equipment - Unit 258",damage
AST00259,"Canon Peripherals Pro",Peripherals,Canon,"Pro 6275",SN00000259,"Compact model - Unit 259",good
AST00260,"Lenovo Networking Advanced",Networking,Lenovo,"Advanced 9718",SN00000260,"Consumer grade - Unit 260",good
AST00261,"ASUS Printers Ultra",Printers,ASUS,"Ultra 1784",SN00000261,"Compact model - Unit 261",damage
AST00262,"Samsung Projectors Standard",Projectors,Samsung,"Standard 1786",SN00000262,"Desktop unit - Unit 262",good
AST00263,"Microsoft Printers Premium",Printers,Microsoft,"Premium 2982",SN00000263,"Professional grade - Unit 263",damage
AST00264,"HP Networking Advanced",Networking,HP,"Advanced 9329",SN00000264,"Consumer grade - Unit 264",good
AST00265,"Canon Projectors Max",Projectors,Canon,"Max 1205",SN00000265,"Reliable office equipment - Unit 265",damage
AST00266,"ASUS Projectors Deluxe",Projectors,ASUS,"Deluxe 5151",SN00000266,"High-performance device - Unit 266",good
AST00267,"Canon Monitors Plus",Monitors,Canon,"Plus 9478",SN00000267,"Industrial equipment - Unit 267",good
AST00268,"Microsoft Projectors Deluxe",Projectors,Microsoft,"Deluxe 5825",SN00000268,"Budget friendly - Unit 268",damage
AST00269,"HP Networking Max",Networking,HP,"Max 8217",SN00000269,"Budget friendly - Unit 269",good
AST00270,"Corsair Accessories Deluxe",Accessories,Corsair,"Deluxe 4541",SN00000270,"Professional grade - Unit 270",good
AST00271,"Acer Monitors Max",Monitors,Acer,"Max 9723",SN00000271,"Budget friendly - Unit 271",good
AST00272,"Canon Peripherals Advanced",Peripherals,Canon,"Advanced 9115",SN00000272,"Consumer grade - Unit 272",good
AST00273,"Razer Monitors Premium",Monitors,Razer,"Premium 6623",SN00000273,"Budget friendly - Unit 273",damage
AST00274,"Samsung Monitors Basic",Monitors,Samsung,"Basic 1927",SN00000274,"Professional grade - Unit 274",good
AST00275,"Logitech Monitors Pro",Monitors,Logitech,"Pro 2105",SN00000275,"Enterprise solution - Unit 275",good
AST00276,"Acer Projectors Basic",Projectors,Acer,"Basic 1945",SN00000276,"Industrial equipment - Unit 276",good
AST00277,"Corsair Storage Ultra",Storage,Corsair,"Ultra 7842",SN00000277,"High-performance device - Unit 277",damage
AST00278,"Acer Networking Pro",Networking,Acer,"Pro 9084",SN00000278,"Desktop unit - Unit 278",good
AST00279,"Acer Monitors Premium",Monitors,Acer,"Premium 9857",SN00000279,"Consumer grade - Unit 279",good
AST00280,"ASUS Networking Ultra",Networking,ASUS,"Ultra 4763",SN00000280,"Reliable office equipment - Unit 280",good
AST00281,"HP Peripherals Max",Peripherals,HP,"Max 9147",SN00000281,"Enterprise solution - Unit 281",good
AST00282,"Canon Monitors Standard",Monitors,Canon,"Standard 1949",SN00000282,"Compact model - Unit 282",good
AST00283,"Canon Peripherals Standard",Peripherals,Canon,"Standard 3637",SN00000283,"Reliable office equipment - Unit 283",damage
AST00284,"Epson Computers Lite",Computers,Epson,"Lite 7727",SN00000284,"Desktop unit - Unit 284",damage
AST00285,"Logitech Projectors Standard",Projectors,Logitech,"Standard 3947",SN00000285,"Enterprise solution - Unit 285",damage
AST00286,"Apple Audio Lite",Audio,Apple,"Lite 7176",SN00000286,"Portable device - Unit 286",damage
AST00287,"Epson Storage Lite",Storage,Epson,"Lite 7896",SN00000287,"Reliable office equipment - Unit 287",damage
AST00288,"Acer Computers Ultra",Computers,Acer,"Ultra 9453",SN00000288,"Desktop unit - Unit 288",damage
AST00289,"Razer Cameras Lite",Cameras,Razer,"Lite 4923",SN00000289,"High-performance device - Unit 289",good
AST00290,"Lenovo Computers Plus",Computers,Lenovo,"Plus 6422",SN00000290,"Budget friendly - Unit 290",damage
AST00291,"Epson Printers Max",Printers,Epson,"Max 3437",SN00000291,"Professional grade - Unit 291",good
AST00292,"HP Storage Basic",Storage,HP,"Basic 5519",SN00000292,"Portable device - Unit 292",damage
AST00293,"Netgear Cameras Premium",Cameras,Netgear,"Premium 6384",SN00000293,"Professional grade - Unit 293",damage
AST00294,"Microsoft Storage Plus",Storage,Microsoft,"Plus 7185",SN00000294,"Portable device - Unit 294",good
AST00295,"Epson Printers Basic",Printers,Epson,"Basic 2268",SN00000295,"Consumer grade - Unit 295",good
AST00296,"LG Networking Premium",Networking,LG,"Premium 2334",SN00000296,"Budget friendly - Unit 296",damage
AST00297,"HP Networking Advanced",Networking,HP,"Advanced 9247",SN00000297,"Reliable office equipment - Unit 297",damage
AST00298,"Canon Printers Standard",Printers,Canon,"Standard 8097",SN00000298,"Budget friendly - Unit 298",good
AST00299,"Netgear Audio Premium",Audio,Netgear,"Premium 2511",SN00000299,"Industrial equipment - Unit 299",damage
AST00300,"Epson Peripherals Ultra",Peripherals,Epson,"Ultra 7962",SN00000300,"Budget friendly - Unit 300",good
AST00301,"Razer Networking Pro",Networking,Razer,"Pro 7278",SN00000301,"Consumer grade - Unit 301",damage
AST00302,"Dell Storage Plus",Storage,Dell,"Plus 9907",SN00000302,"Industrial equipment - Unit 302",damage
AST00303,"Acer Computers Standard",Computers,Acer,"Standard 6595",SN00000303,"Professional grade - Unit 303",good
AST00304,"Microsoft Storage Plus",Storage,Microsoft,"Plus 4050",SN00000304,"Professional grade - Unit 304",damage
AST00305,"Corsair Peripherals Ultra",Peripherals,Corsair,"Ultra 4670",SN00000305,"Enterprise solution - Unit 305",damage
AST00306,"Microsoft Accessories Max",Accessories,Microsoft,"Max 6605",SN00000306,"Reliable office equipment - Unit 306",good
AST00307,"Apple Computers Lite",Computers,Apple,"Lite 2298",SN00000307,"Desktop unit - Unit 307",good
AST00308,"Epson Printers Deluxe",Printers,Epson,"Deluxe 8263",SN00000308,"High-performance device - Unit 308",good
AST00309,"Dell Storage Basic",Storage,Dell,"Basic 1441",SN00000309,"Portable device - Unit 309",good
AST00310,"Logitech Storage Ultra",Storage,Logitech,"Ultra 4482",SN00000310,"Desktop unit - Unit 310",good
AST00311,"ASUS Storage Basic",Storage,ASUS,"Basic 2870",SN00000311,"Consumer grade - Unit 311",damage
AST00312,"Acer Networking Max",Networking,Acer,"Max 4071",SN00000312,"Reliable office equipment - Unit 312",good
AST00313,"Logitech Audio Plus",Audio,Logitech,"Plus 9413",SN00000313,"Consumer grade - Unit 313",damage
AST00314,"ASUS Audio Standard",Audio,ASUS,"Standard 3371",SN00000314,"Enterprise solution - Unit 314",good
AST00315,"Acer Printers Basic",Printers,Acer,"Basic 4383",SN00000315,"Industrial equipment - Unit 315",good
AST00316,"Samsung Monitors Pro",Monitors,Samsung,"Pro 5588",SN00000316,"Budget friendly - Unit 316",damage
AST00317,"Acer Computers Plus",Computers,Acer,"Plus 6018",SN00000317,"Reliable office equipment - Unit 317",damage
AST00318,"Razer Audio Max",Audio,Razer,"Max 8524",SN00000318,"Professional grade - Unit 318",good
AST00319,"Epson Projectors Premium",Projectors,Epson,"Premium 3024",SN00000319,"Compact model - Unit 319",damage
AST00320,"Logitech Networking Standard",Networking,Logitech,"Standard 2930",SN00000320,"Consumer grade - Unit 320",good
AST00321,"Apple Audio Lite",Audio,Apple,"Lite 4464",SN00000321,"Budget friendly - Unit 321",good
AST00322,"Netgear Peripherals Advanced",Peripherals,Netgear,"Advanced 3254",SN00000322,"Industrial equipment - Unit 322",good
AST00323,"Lenovo Computers Advanced",Computers,Lenovo,"Advanced 4376",SN00000323,"Compact model - Unit 323",damage
AST00324,"Acer Cameras Lite",Cameras,Acer,"Lite 9241",SN00000324,"Enterprise solution - Unit 324",damage
AST00325,"Netgear Printers Basic",Printers,Netgear,"Basic 7927",SN00000325,"Budget friendly - Unit 325",good
AST00326,"Razer Accessories Advanced",Accessories,Razer,"Advanced 3211",SN00000326,"High-performance device - Unit 326",good
AST00327,"Epson Accessories Advanced",Accessories,Epson,"Advanced 2573",SN00000327,"Budget friendly - Unit 327",damage
AST00328,"Dell Audio Basic",Audio,Dell,"Basic 3682",SN00000328,"Industrial equipment - Unit 328",good
AST00329,"Canon Storage Lite",Storage,Canon,"Lite 4920",SN00000329,"Compact model - Unit 329",damage
AST00330,"Apple Storage Deluxe",Storage,Apple,"Deluxe 6646",SN00000330,"High-performance device - Unit 330",good
AST00331,"Netgear Monitors Lite",Monitors,Netgear,"Lite 2294",SN00000331,"Professional grade - Unit 331",good
AST00332,"Apple Accessories Premium",Accessories,Apple,"Premium 2207",SN00000332,"Enterprise solution - Unit 332",good
AST00333,"Razer Networking Advanced",Networking,Razer,"Advanced 7892",SN00000333,"Reliable office equipment - Unit 333",damage
AST00334,"Lenovo Projectors Standard",Projectors,Lenovo,"Standard 2514",SN00000334,"Industrial equipment - Unit 334",damage
AST00335,"Epson Projectors Basic",Projectors,Epson,"Basic 1765",SN00000335,"Professional grade - Unit 335",damage
AST00336,"LG Peripherals Lite",Peripherals,LG,"Lite 5424",SN00000336,"Compact model - Unit 336",damage
AST00337,"Dell Printers Pro",Printers,Dell,"Pro 3512",SN00000337,"Industrial equipment - Unit 337",damage
AST00338,"Corsair Accessories Pro",Accessories,Corsair,"Pro 9275",SN00000338,"Professional grade - Unit 338",damage
AST00339,"Canon Printers Max",Printers,Canon,"Max 6743",SN00000339,"Industrial equipment - Unit 339",good
AST00340,"Acer Computers Lite",Computers,Acer,"Lite 3504",SN00000340,"Reliable office equipment - Unit 340",good
AST00341,"Razer Cameras Standard",Cameras,Razer,"Standard 1671",SN00000341,"Professional grade - Unit 341",damage
AST00342,"LG Accessories Pro",Accessories,LG,"Pro 9536",SN00000342,"Professional grade - Unit 342",damage
AST00343,"Netgear Accessories Lite",Accessories,Netgear,"Lite 6495",SN00000343,"High-performance device - Unit 343",damage
AST00344,"Lenovo Storage Deluxe",Storage,Lenovo,"Deluxe 8049",SN00000344,"Compact model - Unit 344",good
AST00345,"Lenovo Peripherals Standard",Peripherals,Lenovo,"Standard 4820",SN00000345,"Budget friendly - Unit 345",good
AST00346,"Razer Accessories Lite",Accessories,Razer,"Lite 8770",SN00000346,"Compact model - Unit 346",good
AST00347,"LG Monitors Standard",Monitors,LG,"Standard 3684",SN00000347,"Industrial equipment - Unit 347",damage
AST00348,"Netgear Peripherals Deluxe",Peripherals,Netgear,"Deluxe 9559",SN00000348,"Portable device - Unit 348",damage
AST00349,"Logitech Projectors Ultra",Projectors,Logitech,"Ultra 4402",SN00000349,"Enterprise solution - Unit 349",damage
AST00350,"Apple Networking Basic",Networking,Apple,"Basic 9069",SN00000350,"Portable device - Unit 350",good
AST00351,"Microsoft Networking Standard",Networking,Microsoft,"Standard 5189",SN00000351,"Reliable office equipment - Unit 351",damage
AST00352,"Canon Computers Lite",Computers,Canon,"Lite 5464",SN00000352,"Portable device - Unit 352",good
AST00353,"Epson Computers Max",Computers,Epson,"Max 1459",SN00000353,"Budget friendly - Unit 353",good
AST00354,"HP Printers Max",Printers,HP,"Max 6599",SN00000354,"Budget friendly - Unit 354",damage
AST00355,"Netgear Audio Advanced",Audio,Netgear,"Advanced 7726",SN00000355,"Reliable office equipment - Unit 355",good
AST00356,"Razer Cameras Max",Cameras,Razer,"Max 7248",SN00000356,"High-performance device - Unit 356",damage
AST00357,"Microsoft Audio Pro",Audio,Microsoft,"Pro 3182",SN00000357,"Consumer grade - Unit 357",good
AST00358,"Netgear Networking Premium",Networking,Netgear,"Premium 8740",SN00000358,"Consumer grade - Unit 358",damage
AST00359,"Samsung Accessories Advanced",Accessories,Samsung,"Advanced 3390",SN00000359,"Professional grade - Unit 359",damage
AST00360,"Epson Cameras Basic",Cameras,Epson,"Basic 4745",SN00000360,"Consumer grade - Unit 360",good
AST00361,"Netgear Peripherals Deluxe",Peripherals,Netgear,"Deluxe 6066",SN00000361,"Compact model - Unit 361",damage
AST00362,"Apple Computers Premium",Computers,Apple,"Premium 8359",SN00000362,"Portable device - Unit 362",good
AST00363,"HP Audio Max",Audio,HP,"Max 3982",SN00000363,"Enterprise solution - Unit 363",good
AST00364,"ASUS Projectors Basic",Projectors,ASUS,"Basic 5684",SN00000364,"High-performance device - Unit 364",damage
AST00365,"Canon Printers Lite",Printers,Canon,"Lite 3444",SN00000365,"Professional grade - Unit 365",damage
AST00366,"Canon Storage Deluxe",Storage,Canon,"Deluxe 3303",SN00000366,"Compact model - Unit 366",damage
AST00367,"HP Storage Lite",Storage,HP,"Lite 7302",SN00000367,"Professional grade - Unit 367",damage
AST00368,"Canon Cameras Max",Cameras,Canon,"Max 7533",SN00000368,"Portable device - Unit 368",good
AST00369,"ASUS Printers Premium",Printers,ASUS,"Premium 6835",SN00000369,"Consumer grade - Unit 369",damage
AST00370,"Corsair Cameras Advanced",Cameras,Corsair,"Advanced 1552",SN00000370,"Budget friendly - Unit 370",good
AST00371,"Acer Computers Premium",Computers,Acer,"Premium 3721",SN00000371,"Budget friendly - Unit 371",damage
AST00372,"HP Networking Pro",Networking,HP,"Pro 5088",SN00000372,"Desktop unit - Unit 372",damage
AST00373,"Dell Storage Premium",Storage,Dell,"Premium 1893",SN00000373,"Desktop unit - Unit 373",good
AST00374,"Netgear Storage Plus",Storage,Netgear,"Plus 5936",SN00000374,"Compact model - Unit 374",good
AST00375,"Canon Monitors Ultra",Monitors,Canon,"Ultra 4553",SN00000375,"Desktop unit - Unit 375",damage
AST00376,"Lenovo Peripherals Deluxe",Peripherals,Lenovo,"Deluxe 1401",SN00000376,"Industrial equipment - Unit 376",good
AST00377,"Acer Monitors Ultra",Monitors,Acer,"Ultra 6982",SN00000377,"Industrial equipment - Unit 377",good
AST00378,"Netgear Networking Lite",Networking,Netgear,"Lite 1334",SN00000378,"High-performance device - Unit 378",good
AST00379,"ASUS Computers Pro",Computers,ASUS,"Pro 1216",SN00000379,"Professional grade - Unit 379",damage
AST00380,"Dell Projectors Standard",Projectors,Dell,"Standard 6970",SN00000380,"Consumer grade - Unit 380",damage
AST00381,"HP Peripherals Deluxe",Peripherals,HP,"Deluxe 7831",SN00000381,"High-performance device - Unit 381",good
AST00382,"Netgear Computers Ultra",Computers,Netgear,"Ultra 2615",SN00000382,"Desktop unit - Unit 382",good
AST00383,"Apple Accessories Lite",Accessories,Apple,"Lite 4253",SN00000383,"Industrial equipment - Unit 383",good
AST00384,"ASUS Networking Premium",Networking,ASUS,"Premium 3203",SN00000384,"High-performance device - Unit 384",good
AST00385,"Acer Monitors Plus",Monitors,Acer,"Plus 8869",SN00000385,"Compact model - Unit 385",good
AST00386,"Canon Computers Ultra",Computers,Canon,"Ultra 8204",SN00000386,"Reliable office equipment - Unit 386",damage
AST00387,"Dell Networking Lite",Networking,Dell,"Lite 6974",SN00000387,"Compact model - Unit 387",damage
AST00388,"HP Networking Lite",Networking,HP,"Lite 1158",SN00000388,"Compact model - Unit 388",good
AST00389,"Samsung Accessories Max",Accessories,Samsung,"Max 7307",SN00000389,"High-performance device - Unit 389",good
AST00390,"LG Storage Lite",Storage,LG,"Lite 8585",SN00000390,"Professional grade - Unit 390",damage
AST00391,"Dell Projectors Max",Projectors,Dell,"Max 7444",SN00000391,"Reliable office equipment - Unit 391",damage
AST00392,"Acer Projectors Pro",Projectors,Acer,"Pro 3631",SN00000392,"Enterprise solution - Unit 392",good
AST00393,"Logitech Monitors Basic",Monitors,Logitech,"Basic 6698",SN00000393,"Portable device - Unit 393",good
AST00394,"Corsair Accessories Deluxe",Accessories,Corsair,"Deluxe 2144",SN00000394,"High-performance device - Unit 394",damage
AST00395,"Netgear Audio Max",Audio,Netgear,"Max 2867",SN00000395,"Enterprise solution - Unit 395",damage
AST00396,"Acer Computers Standard",Computers,Acer,"Standard 8116",SN00000396,"Budget friendly - Unit 396",good
AST00397,"Acer Printers Deluxe",Printers,Acer,"Deluxe 4219",SN00000397,"Consumer grade - Unit 397",good
AST00398,"ASUS Printers Plus",Printers,ASUS,"Plus 1636",SN00000398,"Consumer grade - Unit 398",good
AST00399,"Epson Cameras Plus",Cameras,Epson,"Plus 4105",SN00000399,"Reliable office equipment - Unit 399",good
AST00400,"Logitech Storage Max",Storage,Logitech,"Max 2148",SN00000400,"Professional grade - Unit 400",good
AST00401,"ASUS Monitors Ultra",Monitors,ASUS,"Ultra 7222",SN00000401,"Compact model - Unit 401",good
AST00402,"Acer Cameras Ultra",Cameras,Acer,"Ultra 3645",SN00000402,"Consumer grade - Unit 402",damage
AST00403,"Samsung Monitors Max",Monitors,Samsung,"Max 4243",SN00000403,"Compact model - Unit 403",damage
AST00404,"Microsoft Monitors Ultra",Monitors,Microsoft,"Ultra 2103",SN00000404,"Budget friendly - Unit 404",good
AST00405,"Logitech Peripherals Basic",Peripherals,Logitech,"Basic 2270",SN00000405,"Desktop unit - Unit 405",good
AST00406,"Microsoft Printers Standard",Printers,Microsoft,"Standard 7969",SN00000406,"Reliable office equipment - Unit 406",damage
AST00407,"Razer Projectors Advanced",Projectors,Razer,"Advanced 1564",SN00000407,"Consumer grade - Unit 407",damage
AST00408,"LG Computers Advanced",Computers,LG,"Advanced 2371",SN00000408,"Budget friendly - Unit 408",good
AST00409,"Razer Monitors Advanced",Monitors,Razer,"Advanced 5221",SN00000409,"Reliable office equipment - Unit 409",good
AST00410,"Razer Accessories Max",Accessories,Razer,"Max 7730",SN00000410,"Enterprise solution - Unit 410",good
AST00411,"ASUS Storage Max",Storage,ASUS,"Max 7146",SN00000411,"Reliable office equipment - Unit 411",damage
AST00412,"ASUS Peripherals Basic",Peripherals,ASUS,"Basic 8742",SN00000412,"Consumer grade - Unit 412",good
AST00413,"Logitech Networking Lite",Networking,Logitech,"Lite 5724",SN00000413,"Desktop unit - Unit 413",damage
AST00414,"Epson Monitors Lite",Monitors,Epson,"Lite 8951",SN00000414,"High-performance device - Unit 414",good
AST00415,"Epson Monitors Lite",Monitors,Epson,"Lite 2034",SN00000415,"Compact model - Unit 415",good
AST00416,"Dell Cameras Standard",Cameras,Dell,"Standard 3876",SN00000416,"Reliable office equipment - Unit 416",damage
AST00417,"Apple Monitors Plus",Monitors,Apple,"Plus 9306",SN00000417,"Professional grade - Unit 417",good
AST00418,"LG Printers Deluxe",Printers,LG,"Deluxe 1259",SN00000418,"Compact model - Unit 418",good
AST00419,"Netgear Computers Basic",Computers,Netgear,"Basic 4295",SN00000419,"Consumer grade - Unit 419",damage
AST00420,"Lenovo Accessories Premium",Accessories,Lenovo,"Premium 1327",SN00000420,"High-performance device - Unit 420",damage
AST00421,"Lenovo Printers Basic",Printers,Lenovo,"Basic 7885",SN00000421,"Industrial equipment - Unit 421",damage
AST00422,"Microsoft Computers Deluxe",Computers,Microsoft,"Deluxe 7873",SN00000422,"Desktop unit - Unit 422",damage
AST00423,"HP Networking Ultra",Networking,HP,"Ultra 9341",SN00000423,"High-performance device - Unit 423",damage
AST00424,"Logitech Computers Advanced",Computers,Logitech,"Advanced 2838",SN00000424,"Professional grade - Unit 424",damage
AST00425,"Microsoft Printers Ultra",Printers,Microsoft,"Ultra 6301",SN00000425,"Consumer grade - Unit 425",damage
AST00426,"Microsoft Cameras Advanced",Cameras,Microsoft,"Advanced 7449",SN00000426,"Consumer grade - Unit 426",damage
AST00427,"Netgear Peripherals Deluxe",Peripherals,Netgear,"Deluxe 5164",SN00000427,"Compact model - Unit 427",good
AST00428,"Razer Projectors Lite",Projectors,Razer,"Lite 7915",SN00000428,"High-performance device - Unit 428",damage
AST00429,"HP Printers Pro",Printers,HP,"Pro 6092",SN00000429,"Consumer grade - Unit 429",good
AST00430,"Netgear Storage Standard",Storage,Netgear,"Standard 6941",SN00000430,"Professional grade - Unit 430",good
AST00431,"Logitech Audio Advanced",Audio,Logitech,"Advanced 5803",SN00000431,"High-performance device - Unit 431",damage
AST00432,"Samsung Audio Premium",Audio,Samsung,"Premium 9239",SN00000432,"High-performance device - Unit 432",damage
AST00433,"Netgear Networking Pro",Networking,Netgear,"Pro 1912",SN00000433,"Compact model - Unit 433",good
AST00434,"HP Accessories Plus",Accessories,HP,"Plus 5349",SN00000434,"High-performance device - Unit 434",good
AST00435,"Razer Storage Plus",Storage,Razer,"Plus 5345",SN00000435,"Professional grade - Unit 435",damage
AST00436,"Microsoft Networking Plus",Networking,Microsoft,"Plus 1492",SN00000436,"Portable device - Unit 436",good
AST00437,"Razer Monitors Lite",Monitors,Razer,"Lite 5333",SN00000437,"Compact model - Unit 437",damage
AST00438,"Acer Peripherals Plus",Peripherals,Acer,"Plus 2412",SN00000438,"Consumer grade - Unit 438",damage
AST00439,"Canon Cameras Lite",Cameras,Canon,"Lite 4813",SN00000439,"Portable device - Unit 439",damage
AST00440,"Epson Printers Lite",Printers,Epson,"Lite 6486",SN00000440,"Industrial equipment - Unit 440",damage
AST00441,"LG Projectors Standard",Projectors,LG,"Standard 8877",SN00000441,"Industrial equipment - Unit 441",good
AST00442,"Dell Audio Ultra",Audio,Dell,"Ultra 9267",SN00000442,"Budget friendly - Unit 442",damage
AST00443,"Corsair Cameras Max",Cameras,Corsair,"Max 9403",SN00000443,"Budget friendly - Unit 443",damage
AST00444,"ASUS Peripherals Premium",Peripherals,ASUS,"Premium 5345",SN00000444,"Enterprise solution - Unit 444",damage
AST00445,"Lenovo Peripherals Pro",Peripherals,Lenovo,"Pro 1113",SN00000445,"High-performance device - Unit 445",good
AST00446,"Razer Peripherals Pro",Peripherals,Razer,"Pro 6604",SN00000446,"Budget friendly - Unit 446",damage
AST00447,"Lenovo Accessories Ultra",Accessories,Lenovo,"Ultra 2178",SN00000447,"Desktop unit - Unit 447",damage
AST00448,"Razer Computers Ultra",Computers,Razer,"Ultra 3457",SN00000448,"Consumer grade - Unit 448",damage
AST00449,"Razer Audio Basic",Audio,Razer,"Basic 2162",SN00000449,"Enterprise solution - Unit 449",damage
AST00450,"Microsoft Computers Plus",Computers,Microsoft,"Plus 6673",SN00000450,"High-performance device - Unit 450",damage
AST00451,"Epson Accessories Pro",Accessories,Epson,"Pro 3654",SN00000451,"High-performance device - Unit 451",damage
AST00452,"ASUS Computers Basic",Computers,ASUS,"Basic 2722",SN00000452,"Compact model - Unit 452",damage
AST00453,"Samsung Networking Pro",Networking,Samsung,"Pro 5590",SN00000453,"Industrial equipment - Unit 453",damage
AST00454,"Canon Printers Deluxe",Printers,Canon,"Deluxe 9723",SN00000454,"Portable device - Unit 454",good
AST00455,"Netgear Computers Premium",Computers,Netgear,"Premium 3017",SN00000455,"Consumer grade - Unit 455",damage
AST00456,"Epson Monitors Pro",Monitors,Epson,"Pro 9750",SN00000456,"Enterprise solution - Unit 456",good
AST00457,"Apple Cameras Plus",Cameras,Apple,"Plus 8699",SN00000457,"High-performance device - Unit 457",good
AST00458,"Netgear Projectors Ultra",Projectors,Netgear,"Ultra 2943",SN00000458,"Portable device - Unit 458",damage
AST00459,"Acer Storage Standard",Storage,Acer,"Standard 4953",SN00000459,"Reliable office equipment - Unit 459",damage
AST00460,"Corsair Cameras Deluxe",Cameras,Corsair,"Deluxe 5269",SN00000460,"Enterprise solution - Unit 460",damage
AST00461,"Razer Cameras Ultra",Cameras,Razer,"Ultra 4129",SN00000461,"Desktop unit - Unit 461",good
AST00462,"Epson Cameras Plus",Cameras,Epson,"Plus 5043",SN00000462,"Reliable office equipment - Unit 462",good
AST00463,"Razer Monitors Ultra",Monitors,Razer,"Ultra 9463",SN00000463,"Professional grade - Unit 463",damage
AST00464,"Dell Storage Deluxe",Storage,Dell,"Deluxe 5480",SN00000464,"Portable device - Unit 464",good
AST00465,"Razer Monitors Pro",Monitors,Razer,"Pro 3858",SN00000465,"Budget friendly - Unit 465",damage
AST00466,"Samsung Monitors Standard",Monitors,Samsung,"Standard 4425",SN00000466,"Reliable office equipment - Unit 466",good
AST00467,"Apple Networking Advanced",Networking,Apple,"Advanced 6395",SN00000467,"Desktop unit - Unit 467",good
AST00468,"Razer Cameras Lite",Cameras,Razer,"Lite 3042",SN00000468,"Consumer grade - Unit 468",damage
AST00469,"Corsair Printers Lite",Printers,Corsair,"Lite 2363",SN00000469,"Budget friendly - Unit 469",damage
AST00470,"Dell Monitors Advanced",Monitors,Dell,"Advanced 3848",SN00000470,"Consumer grade - Unit 470",damage
AST00471,"Epson Networking Premium",Networking,Epson,"Premium 8601",SN00000471,"Enterprise solution - Unit 471",good
AST00472,"Corsair Accessories Premium",Accessories,Corsair,"Premium 3980",SN00000472,"Professional grade - Unit 472",damage
AST00473,"Apple Accessories Pro",Accessories,Apple,"Pro 3336",SN00000473,"Consumer grade - Unit 473",good
AST00474,"Logitech Storage Lite",Storage,Logitech,"Lite 3638",SN00000474,"Budget friendly - Unit 474",damage
AST00475,"Netgear Accessories Pro",Accessories,Netgear,"Pro 7966",SN00000475,"Desktop unit - Unit 475",damage
AST00476,"Lenovo Audio Advanced",Audio,Lenovo,"Advanced 4559",SN00000476,"Budget friendly - Unit 476",good
AST00477,"Netgear Storage Max",Storage,Netgear,"Max 6988",SN00000477,"Consumer grade - Unit 477",damage
AST00478,"LG Peripherals Basic",Peripherals,LG,"Basic 4609",SN00000478,"Portable device - Unit 478",good
AST00479,"Samsung Printers Standard",Printers,Samsung,"Standard 9267",SN00000479,"Budget friendly - Unit 479",good
AST00480,"LG Peripherals Max",Peripherals,LG,"Max 1768",SN00000480,"Industrial equipment - Unit 480",damage
AST00481,"HP Projectors Ultra",Projectors,HP,"Ultra 8796",SN00000481,"Industrial equipment - Unit 481",damage
AST00482,"Dell Networking Plus",Networking,Dell,"Plus 6048",SN00000482,"Professional grade - Unit 482",damage
AST00483,"Microsoft Networking Pro",Networking,Microsoft,"Pro 7919",SN00000483,"Desktop unit - Unit 483",good
AST00484,"Acer Storage Advanced",Storage,Acer,"Advanced 8386",SN00000484,"Enterprise solution - Unit 484",good
AST00485,"Canon Peripherals Premium",Peripherals,Canon,"Premium 6174",SN00000485,"High-performance device - Unit 485",damage
AST00486,"Epson Networking Ultra",Networking,Epson,"Ultra 9194",SN00000486,"Consumer grade - Unit 486",damage
AST00487,"HP Monitors Plus",Monitors,HP,"Plus 8683",SN00000487,"Enterprise solution - Unit 487",good
AST00488,"Logitech Projectors Advanced",Projectors,Logitech,"Advanced 7446",SN00000488,"Professional grade - Unit 488",good
